@relation train

@attribute u0 numeric
@attribute u1 numeric
@attribute u2 numeric
@attribute u3 numeric
@attribute u4 numeric
@attribute u6 numeric
@attribute u7 numeric
@attribute u8 numeric
@attribute u12 numeric
@attribute u14 numeric
@attribute u15 numeric
@attribute u16 numeric
@attribute u24 numeric
@attribute u28 numeric
@attribute u30 numeric
@attribute u31 numeric
@attribute u32 numeric
@attribute u48 numeric
@attribute u56 numeric
@attribute u60 numeric
@attribute u62 numeric
@attribute u63 numeric
@attribute u64 numeric
@attribute u96 numeric
@attribute u112 numeric
@attribute u120 numeric
@attribute u124 numeric
@attribute u126 numeric
@attribute u127 numeric
@attribute u128 numeric
@attribute u129 numeric
@attribute u131 numeric
@attribute u135 numeric
@attribute u143 numeric
@attribute u159 numeric
@attribute u191 numeric
@attribute u192 numeric
@attribute u193 numeric
@attribute u195 numeric
@attribute u199 numeric
@attribute u207 numeric
@attribute u223 numeric
@attribute u224 numeric
@attribute u225 numeric
@attribute u227 numeric
@attribute u231 numeric
@attribute u239 numeric
@attribute u240 numeric
@attribute u241 numeric
@attribute u243 numeric
@attribute u247 numeric
@attribute u248 numeric
@attribute u249 numeric
@attribute u251 numeric
@attribute u252 numeric
@attribute u253 numeric
@attribute u254 numeric
@attribute u255 numeric
@attribute unull numeric
@attribute emotion {ANGRY,DISTINGUISH,FEAR,HAPPY,NEUTRAL,SAD,SUPRISED}

@data
33,127,160,82,52,17,4,6,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,4,7,11,7,9,8,3,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,ANGRY
89,228,253,169,109,21,6,7,2,0,2,1,1,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,ANGRY
69,145,209,157,112,16,19,19,8,7,10,6,3,2,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,ANGRY
16,77,127,102,69,23,5,8,2,3,2,1,1,0,1,0,3,4,0,3,4,6,6,2,3,4,0,5,3,2,3,7,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,2,8,10,10,15,15,15,16,24,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,7,14,18,12,20,27,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,ANGRY
7,23,31,41,27,10,3,0,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,35,42,15,11,10,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,ANGRY
40,120,202,173,111,29,20,13,7,5,9,5,7,4,4,2,2,3,3,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,ANGRY
0,3,1,4,5,7,3,1,8,2,2,1,1,4,1,2,1,1,3,3,5,4,2,2,5,8,10,9,7,16,9,7,7,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,ANGRY
0,1,0,0,0,0,1,2,2,0,0,1,0,2,1,3,3,2,4,3,1,1,1,1,0,2,5,4,6,3,9,3,7,4,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,ANGRY
25,53,122,117,98,33,19,19,11,9,6,3,2,3,2,0,2,1,1,2,1,0,2,1,1,2,4,2,4,5,7,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,ANGRY
1,17,34,25,34,30,21,10,0,3,2,6,0,1,0,1,0,2,3,3,2,2,3,4,7,10,18,23,27,25,26,42,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,33,24,31,15,29,33,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,ANGRY
12,57,106,73,50,19,6,2,0,0,0,3,0,1,0,2,0,2,0,0,0,0,2,3,34,15,2,7,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,ANGRY
18,46,75,68,41,19,10,6,12,5,9,6,2,2,7,6,4,4,9,6,10,6,7,1,1,4,5,1,3,1,7,7,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,ANGRY
0,1,0,1,2,3,4,4,6,3,5,2,3,1,2,3,3,1,2,0,6,0,1,0,3,6,3,7,5,4,4,8,12,8,7,4,10,12,11,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,ANGRY
0,2,2,2,3,0,3,3,1,2,3,3,5,2,3,3,2,0,1,1,2,1,0,0,3,1,4,5,3,3,3,5,5,9,4,12,16,22,10,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,ANGRY
9,19,34,29,32,14,9,10,4,6,4,2,4,4,3,4,2,1,0,2,0,1,3,4,7,17,7,10,16,5,10,12,14,8,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,ANGRY
14,39,67,75,68,26,18,17,8,7,9,6,5,6,3,1,2,1,0,4,1,0,1,1,3,4,6,6,11,11,12,12,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,51,39,40,28,25,34,40,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,ANGRY
1,16,33,38,28,21,19,11,4,1,0,2,0,2,0,2,1,1,3,0,1,7,3,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,ANGRY
0,0,3,6,4,9,10,10,3,0,0,2,4,4,2,1,4,2,9,6,5,7,6,8,8,3,4,9,3,4,4,5,4,6,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,ANGRY
0,1,3,4,2,4,4,0,3,0,3,2,0,0,0,2,0,0,0,1,2,0,1,7,5,13,15,9,9,13,8,11,5,8,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,ANGRY
0,0,0,3,6,4,1,3,0,0,1,1,0,0,1,1,1,0,0,0,0,2,2,4,6,3,7,5,8,5,3,7,8,13,22,13,11,18,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,ANGRY
1,0,1,1,1,3,2,2,2,6,2,3,1,3,1,1,3,0,0,3,1,0,1,2,2,1,6,4,2,8,7,10,10,10,11,7,6,5,9,13,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,ANGRY
0,6,6,15,14,17,14,16,5,4,6,3,5,1,4,3,1,0,1,4,4,1,1,5,3,5,5,5,10,4,8,12,10,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,32,40,39,41,44,38,34,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,ANGRY
0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,1,1,0,5,0,3,3,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,ANGRY
0,0,3,2,1,0,1,2,1,4,1,3,2,0,2,2,2,4,6,7,8,10,9,10,2,12,7,9,8,8,6,8,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,ANGRY
0,0,0,0,0,0,0,1,4,0,6,1,0,2,2,3,2,3,4,5,2,1,6,11,10,7,11,6,7,5,5,9,11,12,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,1,1,0,4,2,3,2,5,8,5,4,9,5,1,7,12,12,15,12,10,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,4,17,11,7,5,7,3,2,2,11,9,7,7,8,7,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,21,14,5,17,16,23,15,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,20,29,30,35,34,26,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,ANGRY
5,7,11,11,14,6,4,7,0,0,2,2,0,0,1,0,0,1,4,1,4,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,ANGRY
24,103,134,113,85,27,16,6,3,2,6,3,10,2,2,4,3,7,10,7,7,7,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,ANGRY
0,0,0,0,0,0,0,2,2,1,1,1,7,1,0,0,2,9,14,14,15,27,20,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,ANGRY
0,0,0,0,0,0,0,0,4,3,3,1,3,4,2,0,4,2,7,9,6,6,8,22,4,11,6,6,5,14,3,6,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,ANGRY
1,6,3,9,9,11,7,5,2,4,2,2,1,2,2,3,1,4,0,1,0,8,3,11,21,22,18,17,9,6,9,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,32,36,36,30,41,33,31,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,21,35,18,30,37,33,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,17,15,17,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,ANGRY
0,1,1,2,1,1,0,2,0,2,0,0,1,0,0,0,1,5,8,10,12,14,13,27,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,ANGRY
0,0,0,1,0,2,0,3,5,3,2,3,1,2,2,4,1,3,3,3,1,1,3,12,11,15,3,8,11,8,5,10,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,ANGRY
1,0,3,3,4,12,17,17,4,1,1,2,4,1,4,3,1,8,13,6,16,9,20,1,2,2,1,4,5,1,3,4,3,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,ANGRY
2,1,2,3,5,13,30,33,8,2,1,2,1,5,2,1,0,2,5,2,7,4,2,6,9,6,2,3,2,5,4,8,2,1,1,8,7,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,4,7,6,12,4,6,9,7,15,14,6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,22,19,16,12,11,15,12,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,28,35,37,19,30,28,33,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,30,36,33,34,39,34,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,ANGRY
1,7,9,20,29,7,1,6,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,ANGRY
34,61,69,74,77,15,13,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,3,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,ANGRY
4,18,24,33,38,9,7,7,0,2,0,3,1,4,1,0,1,1,1,1,0,1,2,0,1,3,1,9,2,1,3,9,6,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,2,1,2,3,1,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,10,10,12,31,48,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,59,49,40,44,39,35,20,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,ANGRY
13,30,56,43,42,6,6,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23,26,21,27,36,38,27,20,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,ANGRY
43,197,350,201,127,16,6,6,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,ANGRY
90,251,258,145,89,23,10,8,3,3,2,2,1,0,1,0,0,2,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,ANGRY
63,136,174,163,102,20,27,15,11,12,5,5,3,2,4,3,4,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,ANGRY
19,77,121,109,64,34,22,13,4,2,10,3,2,1,1,0,1,0,3,6,2,5,1,8,4,3,2,3,2,3,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,18,14,21,22,28,25,31,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,11,17,23,14,27,35,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,35,24,16,15,11,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,ANGRY
32,114,210,143,92,20,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,23,10,21,23,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,ANGRY
27,83,166,136,123,44,41,29,9,13,4,4,2,4,2,1,3,4,4,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,ANGRY
0,0,1,1,1,1,3,2,6,4,1,0,0,5,0,3,2,2,4,2,3,5,3,5,7,7,6,6,6,5,9,6,5,5,11,5,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,ANGRY
0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,2,1,5,2,3,4,3,3,5,5,5,3,3,8,6,14,3,8,6,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,ANGRY
14,27,66,87,116,61,42,24,5,5,4,7,1,5,3,2,0,1,1,1,0,0,2,2,4,5,0,5,6,5,4,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,ANGRY
0,3,4,6,4,13,11,6,5,6,3,6,1,1,0,1,2,0,2,1,1,4,0,4,7,26,32,21,26,16,26,33,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,28,39,32,38,49,43,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,25,15,10,9,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,ANGRY
23,124,191,151,99,41,13,7,1,1,1,3,2,0,2,1,0,1,0,2,0,0,2,1,4,17,18,4,8,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,ANGRY
9,15,43,54,38,25,10,14,3,3,1,3,4,1,3,2,1,1,4,8,5,4,5,4,7,6,3,1,4,4,6,5,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,ANGRY
0,0,0,0,0,3,9,6,1,3,8,4,4,3,3,8,2,3,2,4,0,1,2,1,2,5,8,3,4,5,10,4,7,6,13,20,16,8,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,ANGRY
1,0,0,5,5,7,7,2,2,3,4,3,3,0,1,2,3,5,4,3,1,2,2,2,7,3,5,5,1,3,8,6,2,3,7,13,15,24,13,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,ANGRY
4,11,22,35,38,29,28,24,3,4,2,5,8,4,2,4,4,0,0,2,5,2,4,1,8,8,7,6,10,10,7,8,8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,ANGRY
0,3,1,6,5,8,8,8,6,6,3,2,1,5,0,2,1,0,2,3,2,4,2,1,2,12,13,16,25,19,34,37,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,19,44,45,47,62,60,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,ANGRY
6,21,35,39,63,46,39,32,8,8,6,3,7,3,4,2,4,10,6,5,2,2,7,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,ANGRY
0,0,4,1,1,4,7,2,1,4,1,1,0,1,1,0,1,1,1,3,6,9,4,9,8,6,13,7,5,3,8,5,7,7,8,0,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,ANGRY
0,2,0,12,7,7,4,4,1,1,1,1,0,1,1,2,0,0,0,1,1,2,0,1,1,6,8,6,5,8,5,14,14,11,11,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,ANGRY
0,0,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,3,3,7,6,6,3,12,9,12,7,20,8,10,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,ANGRY
